threshold,accuracy,precision,recall_sensitivity,specificity,false_positive_rate,false_negative_rate,f1,tn,fp,fn,tp,target_recall,recall_constraint_met,run_tag,model,prob_col,threshold_type,threshold_source,roc_auc_source,pr_auc_source,brier_source,log_loss_source
0.341127872467041,0.7708333333333334,0.5714285714285714,0.8115942028985508,0.7543859648681646,0.2456140350733558,0.1884057970741441,0.6706586826347305,129,42,13,56,0.8,True,main,image_raw,prob_image_raw,min_fpr_recall_0.80,threshold_split,0.8263412153572337,0.6945098566326061,0.1488010091978192,0.4769529320247547
0.1811514943838119,0.6583333333333333,0.4503816793893129,0.855072463768116,0.5789473683871961,0.4210526315543244,0.1449275362108801,0.59,99,72,10,59,0.85,True,main,image_raw,prob_image_raw,min_fpr_recall_0.85,threshold_split,0.8263412153572337,0.6945098566326061,0.1488010091978192,0.4769529320247547
0.1304928362369537,0.5833333333333334,0.4012738853503185,0.9130434782608696,0.4502923976344858,0.5497076023070346,0.086956521726528,0.5575221238938053,77,94,6,63,0.9,True,main,image_raw,prob_image_raw,min_fpr_recall_0.90,threshold_split,0.8263412153572337,0.6945098566326061,0.1488010091978192,0.4769529320247547
0.2536766067020463,0.7708333333333334,0.5714285714285714,0.8115942028985508,0.7543859648681646,0.2456140350733558,0.1884057970741441,0.6706586826347305,129,42,13,56,0.8,True,main,image_calibrated,prob_image_cal,min_fpr_recall_0.80,threshold_split,0.8263412153572337,0.6945098566326061,0.1399840414849617,0.442976800540956
0.150568093694026,0.6583333333333333,0.4503816793893129,0.855072463768116,0.5789473683871961,0.4210526315543244,0.1449275362108801,0.59,99,72,10,59,0.85,True,main,image_calibrated,prob_image_cal,min_fpr_recall_0.85,threshold_split,0.8263412153572337,0.6945098566326061,0.1399840414849617,0.442976800540956
0.1163694068746438,0.5833333333333334,0.4012738853503185,0.9130434782608696,0.4502923976344858,0.5497076023070346,0.086956521726528,0.5575221238938053,77,94,6,63,0.9,True,main,image_calibrated,prob_image_cal,min_fpr_recall_0.90,threshold_split,0.8263412153572337,0.6945098566326061,0.1399840414849617,0.442976800540956
0.225449098213111,0.45,0.32,0.8115942028985508,0.3040935672336787,0.6959064327078417,0.1884057970741441,0.4590163934426229,52,119,13,56,0.8,True,main,text_calibrated,prob_text_cal,min_fpr_recall_0.80,threshold_split,0.6534875836935333,0.4454576449667996,0.194326674872794,0.5753391001310054
0.1974423154238923,0.3833333333333333,0.3091787439613526,0.927536231884058,0.1637426900489039,0.8362573098926165,0.07246376810544,0.463768115942029,28,143,5,64,0.85,True,main,text_calibrated,prob_text_cal,min_fpr_recall_0.85,threshold_split,0.6534875836935333,0.4454576449667996,0.194326674872794,0.5753391001310054
0.1974423154238923,0.3833333333333333,0.3091787439613526,0.927536231884058,0.1637426900489039,0.8362573098926165,0.07246376810544,0.463768115942029,28,143,5,64,0.9,True,main,text_calibrated,prob_text_cal,min_fpr_recall_0.90,threshold_split,0.6534875836935333,0.4454576449667996,0.194326674872794,0.5753391001310054
0.2536766067020463,0.7708333333333334,0.5714285714285714,0.8115942028985508,0.7543859648681646,0.2456140350733558,0.1884057970741441,0.6706586826347305,129,42,13,56,0.8,True,main,fusion_weighted,prob_fusion_weighted,min_fpr_recall_0.80,threshold_split,0.8263412153572337,0.6945098566326061,0.1399840414849617,0.442976800540956
0.150568093694026,0.6583333333333333,0.4503816793893129,0.855072463768116,0.5789473683871961,0.4210526315543244,0.1449275362108801,0.59,99,72,10,59,0.85,True,main,fusion_weighted,prob_fusion_weighted,min_fpr_recall_0.85,threshold_split,0.8263412153572337,0.6945098566326061,0.1399840414849617,0.442976800540956
0.1163694068746438,0.5833333333333334,0.4012738853503185,0.9130434782608696,0.4502923976344858,0.5497076023070346,0.086956521726528,0.5575221238938053,77,94,6,63,0.9,True,main,fusion_weighted,prob_fusion_weighted,min_fpr_recall_0.90,threshold_split,0.8263412153572337,0.6945098566326061,0.1399840414849617,0.442976800540956
0.4781431752364832,0.7916666666666666,0.6021505376344086,0.8115942028985508,0.783625730948326,0.2163742689931944,0.1884057970741441,0.691358024691358,134,37,13,56,0.8,True,main,fusion_stack,prob_fusion_stack,min_fpr_recall_0.80,threshold_split,0.8328671921349268,0.7051603890233524,0.163593896965538,0.51214411137825
0.3331824721040701,0.675,0.4645669291338583,0.855072463768116,0.6023391812513251,0.3976608186901952,0.1449275362108801,0.6020408163265306,103,68,10,59,0.85,True,main,fusion_stack,prob_fusion_stack,min_fpr_recall_0.85,threshold_split,0.8328671921349268,0.7051603890233524,0.163593896965538,0.51214411137825
0.2652784875320625,0.6083333333333333,0.4172185430463576,0.9130434782608696,0.4853801169306795,0.5146198830108409,0.086956521726528,0.5727272727272728,83,88,6,63,0.9,True,main,fusion_stack,prob_fusion_stack,min_fpr_recall_0.90,threshold_split,0.8328671921349268,0.7051603890233524,0.163593896965538,0.51214411137825
